rooms,area_sqm,build_year,resale_price
2,44,1979,232000
3,67,1978,250000
3,67,1980,262000
3,68,1980,265000
3,67,1980,265000
3,68,1981,275000
3,68,1979,280000
3,67,1976,285000
3,68,1979,285000
3,67,1979,285000
3,68,1980,288500
3,67,1977,295000
3,67,1977,295000
3,67,1977,297000
3,68,1980,298000
3,67,1978,298000
3,67,1979,300000
3,68,1980,301000
3,67,1979,306000
3,68,1980,312000
3,67,1978,312000
3,73,1977,321000
3,67,1979,325000
3,67,1977,325000
3,67,1979,328000
3,74,1978,330000
3,68,1981,330000
3,73,1977,335000
3,68,1981,338000
3,82,1980,366000
3,73,1978,373000
3,82,1980,375000
3,81,1980,390000
4,92,1979,400000
4,91,1979,400000
4,94,1981,403000
4,92,1981,410000
4,98,1979,425888
4,97,1977,430000
4,92,1979,435000
4,91,1980,435000
4,92,1980,440000
4,97,1976,460000
4,97,1977,518000
4,99,1980,518000
4,98,1978,560000
4,90,2011,688000
4,91,2011,730000
4,91,2011,756000
5,117,1978,500000
5,119,1979,668000
5,118,1980,668000
5,119,1980,725000
5,112,2011,770000
5,121,2012,832000
2,45,1978,238000
3,68,1980,272000
3,59,1978,278000
3,68,1980,280000
3,59,1976,280000
3,63,1988,281000
3,68,1981,285000
3,68,1981,285000
3,70,1985,287000
3,68,1979,290000
3,60,1986,290000
3,68,1980,293000
3,60,1986,300000
3,67,1986,300000
3,65,1976,300000
3,65,1974,300000
3,60,1985,300000
3,60,1985,301888
3,67,1977,305000
3,68,1981,310000
3,67,1985,310000
3,68,1981,310000
3,75,1984,310000
3,70,1978,312000
3,65,1976,312000
3,66,1983,312000
3,68,1981,313000
3,67,1979,332000
3,73,1978,336000
3,82,1979,358000
3,82,1985,360000
3,82,1980,365000
4,84,1987,350000
4,90,1977,350000
4,84,1977,350000
4,90,1977,358000
4,82,1976,358000
4,82,1976,375000
4,91,1978,380000
4,91,1978,382000
4,84,1987,384000
4,84,1987,385000
4,91,1978,390000
4,84,1986,392000
4,84,1986,395000
4,92,1978,395000
4,91,1980,410000
4,93,1980,412000
4,98,1982,420000
4,91,1978,425000
4,92,1978,430000
4,104,1984,430000
4,105,2000,480000
4,90,2001,499000
4,92,2005,580000
4,104,1989,625000
4,97,2010,671000
5,120,1982,485000
5,130,1972,530000
5,132,1996,550000
5,119,1978,604000
5,115,2000,610000
5,122,1993,610000
5,137,1984,633000
5,139,1984,660000
5,112,2010,795000
3,68,1973,275000
3,64,1986,320000
3,64,1985,395000
4,84,1988,380000
4,84,1988,475000
4,84,1986,510000
4,83,1987,513000
4,84,1987,520000
4,84,1985,530000
4,84,1986,533000
4,83,1987,583000
4,108,1992,625000
4,95,2011,808000
5,139,1992,650000
5,121,1987,658740
5,123,1990,700000
5,120,1986,728888
