idx,text,label,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
0,im feeling rather rotten so im not very ambitious right now,0,1,11,1,1,99,1,11,18.18,100,81.82,63.64,18.18,18.18,18.18,0,0,0,0,0,0,0,0,0,18.18,36.36,9.09,9.09,18.18,18.18,0,9.09,0,9.09,0,27.27,0,27.27,9.09,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,9.09,9.09,0,27.27,0,0,0,0,0,0,0,0,0,0,0,0,0
1,im updating my blog because i feel shitty,0,1,8,1,1,99,20.23,8,25,100,75,50,37.5,37.5,37.5,0,0,0,0,0,12.5,0,0,0,12.5,0,12.5,0,25,12.5,0,0,0,0,0,25,0,25,12.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,12.5,12.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,i never make her separate from me because i don t ever want her to feel like i m ashamed with her,0,1,22,12.37,1.08,79.84,1,22,13.64,86.36,77.27,63.64,31.82,31.82,18.18,0,0,13.64,0,0,13.64,0,0,18.18,0,9.09,4.55,4.55,13.64,0,0,4.55,0,0,4.55,31.82,9.09,22.73,4.55,9.09,4.55,0,0,4.55,0,4.55,0,4.55,4.55,0,4.55,0,0,0,0,13.64,0,0,0,0,0,0,13.64,0,0,13.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,13.64,9.09,0,0,4.55,0,0,4.55,9.09,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0
3,i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,1,1,21,42.52,1,99,88.66,21,23.81,85.71,71.43,52.38,19.05,19.05,19.05,0,0,0,0,0,14.29,0,0,19.05,0,4.76,14.29,0,4.76,19.05,4.76,0,0,0,0,9.52,0,9.52,4.76,0,0,0,0,4.76,0,4.76,4.76,0,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,4.76,9.52,9.52,0,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,i was feeling a little vain when i did this one,0,1,11,1,1,99,1,11,9.09,100,90.91,72.73,27.27,18.18,18.18,0,0,0,0,9.09,27.27,9.09,9.09,0,18.18,9.09,9.09,0,18.18,18.18,18.18,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,0,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,9.09,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,i cant walk into a shop anywhere where i do not feel uncomfortable,4,1,13,1.3,1,99,1,13,15.38,100,92.31,69.23,15.38,15.38,15.38,0,0,0,0,0,7.69,7.69,0,7.69,15.38,15.38,0,15.38,30.77,7.69,0,0,0,0,0,30.77,0,30.77,7.69,0,7.69,7.69,0,15.38,0,7.69,0,7.69,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,38.46,0,7.69,23.08,0,0,7.69,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0
6,i felt anger when at the end of a telephone call,3,1,11,97.37,5.27,99,1,11,9.09,100,63.64,54.55,9.09,9.09,9.09,0,0,0,0,0,18.18,18.18,0,18.18,0,9.09,9.09,0,9.09,0,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,9.09,0,9.09,9.09,0,9.09,0,9.09,0,0,18.18,18.18,0,0,0,0,18.18,0,0,0,0,0,9.09,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,9.09,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,1,1,39,96.67,26.18,48.76,60.52,39,33.33,89.74,69.23,61.54,10.26,10.26,7.69,0,0,0,0,0,15.38,12.82,0,20.51,10.26,2.56,2.56,0,15.38,5.13,2.56,5.13,2.56,2.56,0,12.82,0,12.82,5.13,2.56,2.56,0,0,2.56,0,7.69,5.13,2.56,2.56,2.56,0,0,0,0,0,10.26,2.56,0,0,0,0,2.56,7.69,0,0,0,2.56,0,0,0,0,5.13,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,2.56,7.69,0,0,5.13,0,0,2.56,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,i like to have the same breathless feeling as a reader eager to see what will happen next,1,1,18,95.3,2.75,77.17,93.93,18,11.11,94.44,83.33,55.56,11.11,5.56,5.56,0,0,0,0,5.56,11.11,11.11,0,22.22,11.11,0,5.56,0,22.22,16.67,0,0,0,0,0,11.11,0,11.11,5.56,0,0,0,0,5.56,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,16.67,11.11,0,0,0,5.56,0,5.56,5.56,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0
9,i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,3,1,34,11.57,1,99,1.85,34,8.82,88.24,76.47,67.65,17.65,11.76,11.76,0,0,0,0,5.88,11.76,8.82,0,14.71,8.82,11.76,17.65,0,11.76,5.88,2.94,0,0,0,0,11.76,0,11.76,2.94,0,0,2.94,0,5.88,0,8.82,2.94,5.88,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,2.94,0,0,0,0,5.88,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,2.94,0,0,0,2.94,2.94,0,0,0,0,0,2.94,11.76,2.94,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0
10,i don t feel particularly agitated,4,1,6,10.19,1,99,1,6,33.33,66.67,50,33.33,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,16.67,0,16.67,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0
11,i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,0,1,24,5.64,40.06,97.72,83,24,25,87.5,83.33,62.5,33.33,25,16.67,4.17,0,0,0,8.33,20.83,4.17,0,8.33,4.17,8.33,4.17,0,16.67,4.17,4.17,4.17,4.17,0,0,12.5,0,12.5,12.5,0,0,0,0,0,0,8.33,4.17,0,4.17,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,4.17,0,8.33,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0
12,i pay attention it deepens into a feeling of being invaded and helpless,4,1,13,74.95,7.93,98.89,1,13,38.46,92.31,61.54,53.85,15.38,7.69,7.69,0,0,0,0,7.69,7.69,7.69,0,15.38,7.69,0,7.69,0,7.69,7.69,0,15.38,0,0,15.38,7.69,0,7.69,7.69,0,0,0,0,0,0,7.69,0,7.69,7.69,0,7.69,0,0,0,0,7.69,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,7.69,0,15.38,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,i just feel extremely comfortable with the group of people that i dont even need to hide myself,1,1,18,19.76,1,39.59,93.93,18,11.11,100,83.33,66.67,22.22,16.67,16.67,0,0,0,0,5.56,11.11,5.56,0,16.67,5.56,16.67,0,5.56,16.67,5.56,0,0,0,0,0,16.67,0,16.67,5.56,0,5.56,0,5.56,0,0,5.56,5.56,0,5.56,5.56,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,5.56,0,16.67,11.11,0,0,0,5.56,0,5.56,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
14,i find myself in the odd position of feeling supportive of,2,1,11,99,1,99,20.23,11,27.27,100,81.82,54.55,18.18,18.18,18.18,0,0,0,0,0,9.09,9.09,0,27.27,0,0,0,0,9.09,9.09,0,9.09,9.09,0,0,27.27,0,27.27,18.18,0,0,0,0,9.09,0,18.18,9.09,9.09,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,9.09,36.36,0,0,18.18,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,i was feeling as heartbroken as im sure katniss was,0,1,10,1,1,98.38,1,10,30,90,70,60,20,20,20,0,0,0,0,0,0,0,0,20,30,0,20,0,30,10,0,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,0,10,10,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
16,i feel a little mellow today,1,1,6,89.52,1,99,20.23,6,0,83.33,66.67,33.33,16.67,16.67,16.67,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,16.67,16.67,16.67,0,0,0,0,16.67,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,0,0,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0
17,i feel like my only role now would be to tear your sails with my pessimism and discontent,0,1,18,10.19,40.06,96.01,1,18,11.11,88.89,72.22,66.67,22.22,22.22,16.67,0,5.56,0,0,0,16.67,0,0,16.67,11.11,11.11,5.56,0,16.67,5.56,0,0,0,0,0,11.11,0,11.11,5.56,0,5.56,0,0,0,0,5.56,0,5.56,5.56,0,5.56,0,0,0,0,11.11,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,16.67,11.11,0,5.56,0,0,0,5.56,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
18,i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,3,1,26,89.52,98.04,30.98,1,26,3.85,84.62,73.08,50,15.38,15.38,3.85,7.69,3.85,0,0,0,23.08,11.54,0,11.54,0,7.69,0,0,19.23,7.69,0,7.69,7.69,0,0,19.23,0,19.23,7.69,3.85,3.85,0,0,3.85,0,11.54,0,11.54,3.85,0,3.85,0,3.85,0,0,19.23,7.69,0,0,7.69,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,11.54,7.69,0,0,3.85,0,0,3.85,0,0,7.69,3.85,7.69,7.69,0,0,0,0,0,0,0,0,0,0
19,i feel like reds and purples are just so rich and kind of perfect,1,1,14,7.34,9.23,24.32,99,14,14.29,85.71,78.57,57.14,7.14,7.14,7.14,0,0,0,0,0,0,0,0,14.29,7.14,14.29,21.43,0,14.29,14.29,0,7.14,0,0,7.14,28.57,0,28.57,7.14,0,0,14.29,7.14,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,7.14,0,0,0,0,0,7.14,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0
